icao24,registration,manufacturername,model,typecode,operator,operatorcallsign,operatoricao,operatoriata
789201,B-LRT,Airbus,Airbus A350 941,A359,,CATHAY,CPA,
4bb02b,TC-LAK,,,B38M,,,,
a9c508,N729AN,Boeing,777-323ER,B77W,,AMERICAN,AAL,
780ae6,B-2040,Boeing, Boeing 777-39L(ER),B77W,,AIR CHINA,CCA,
4b18ff,HB-JMD,Airbus,A340-313,A343,Edelweiss Air,EDELWEISS,EDW,WK
3c6548,D-AIJH,,,A20N,,,,
4d21f2,9H-QAJ,Boeing,Boeing 737-8AS,B738,Malta Air,RYANAIR,RYR,
44ce6a,OO-SSJ,Airbus,A319 111,A319,Brussels Airlines,BEE-LINE,BEL,SN
4ca640,EI-DVH,Airbus Industrie,A320-214,A320,,SHAMROCK,EIN,
71c361,HL8361,,Airbus A350-941,A359,Asiana Airlines,ASIANA,AAR,OZ
4b1886,HB-JHM,Airbus,A330-343,A333,Swiss International Air Lines,SWISS,SWR,LX
4d236a,9H-VUT,,,B38M,,,,
78168f,B-20AA,,,B789,,,,
40649f,G-EUYK,Airbus Sas,AIRBUS A320-232,A320,,SPEEDBIRD,BAW,
4b161a,HB-IJQ,Airbus,A320-214,A320,Swiss International Air Lines,SWISS,SWR,LX
44d2ab,OO-TUK,Boeing,737NG 86J/W,B738,,BEAUTY,JAF,
06a2c4,A7-BEU,Boeing,777-3DZ(ER),B77W,Qatar Airways,QATARI,QTR,QR
3465d9,EC-NNY,,,A320,,,,
34629a,EC-NEZ,,,E295,,,,
39ceb0,F-HTVQ,,737-8AL (W),B738,Transavia France,FRANCE SOLEIL,TVF,TO
4b1620,HB-IJW,Airbus,A320-214,A320,Edelweiss Air,EDELWEISS,EDW,WK
0a008f,7T-VKP,Boeing,737NG 800/W,B738,Air Algerie,AIR ALGERIE,DAH,AH
407b8e,G-TTNR,,,A20N,,,,
3c666f,D-AISO,Airbus,A321 231,A321,,LUFTHANSA,DLH,
76cef7,9V-SWW,Boeing,777 312ER,B77W,,SINGAPORE,SIA,
aacaa5,N795AN,Boeing,777-223,B772,,AMERICAN,AAL,
4d208e,9H-GYB,Hawker Beechcraft Corp,Hawker 900XP,H900,,,,
ab30e6,N820AL,Boeing,787-9,B789,,AMERICAN,AAL,
405a48,G-EUUZ,Airbus Sas,AIRBUS A320-232,A320,,SPEEDBIRD,BAW,
39e689,F-HZUJ,,,BCS3,,,,
3c48ee,D-ABGN,Airbus,A319 112,A319,,EUROWINGS,EWG,
c01c52,C-FKSV,The Boeing Company,787-9 (Boeing),B789,,AIR CANADA,ACA,
78921a,B-LXH,,,A35K,,,,
5001ac,T7-MCB,,,GLEX,,,,
a3376c,N306UP,Boeing,767-34AF,B763,United Parcel Service,UPS,UPS,5X
3c64fa,D-AIGZ,Airbus,A340 313X,A343,,LUFTHANSA,DLH,
44083c,OE-IJQ,,,A320,,,,
471fa4,HA-LZO,,,A21N,,,,
c058c0,C-GHPV,The Boeing Company,787-8 (Boeing),B788,,AIR CANADA,ACA,
4ca935,EI-DVL,Airbus Industrie,A320-214,A320,,SHAMROCK,EIN,
4851ae,PH-BHC,Boeing,Boeing 787-9,B789,,KLM,KLM,
495305,CS-TXE,,A321-251NX(LR),A21N,Tap Portugal,AIR PORTUGAL,TAP,TP
4005b9,G-VIIA,Boeing Company,BOEING 777-236,B772,,SPEEDBIRD,BAW,
4952a1,CS-TUA,Airbus,A330 941N,A339,,AIR PORTUGAL,TAP,
781610,B-306N,,A350-941,A359,Sichuan Airlines,SI CHUAN,CSC,3U
495269,CS-TSI,,,A21N,,,,
780f15,B-7183,Boeing,777 31BER,B77W,,CHINA SOUTHERN,CSN,
71c212,HL8212,Airbus,A330 223,A332,,KOREANAIR,KAL,
8852e1,HS-TWA,Boeing,787 9,B789,,THAI,THA,
484410,PH-AOB,Airbus,A330 203,A332,,KLM,KLM,
345352,EC-MPE,Boeing,787 8,B788,,EUROPA,AEA,
4691c3,SX-DNC,Airbus,A320 232SL,A320,,AEGEAN,AEE,
4ac9f8,SE-ROX,Airbus Industrie,A320-251N,A20N,Scandinavian Airlines,SCANDINAVIAN,SAS,SK
3e2bf6,D-IHVQ,Cessna,Cessna 525 Citation CJ1,C525,Pav - Proair Aviation Gmbh,,,
780970,B-2036,Boeing,Boeing 777-39L(ER),B77W,,AIR CHINA,CCA,
3c65ca,D-AINJ,Airbus Industrie,A320-271N,A20N,Lufthansa,LUFTHANSA,DLH,LH
4cadc2,EI-IGA,,,B38M,,,,
44cdc8,OO-SNH,Airbus,A320 214,A320,Brussels Airlines,BEE-LINE,BEL,SN
345688,EC-MUG,Bombardier,CRJ-1000,CRJX,Air Nostrum,AIR NOSTRUM,ANE,YW
3c66ad,D-AIUM,Airbus,A320 214SL,A320,,LUFTHANSA,DLH,
896189,A6-EEJ,Airbus,A380 861,A388,,EMIRATES,UAE,
493294,CS-LTT,,,C68A,,,,
4b1807,HB-JCP,C Series Aircraft Limited Partnership,BD-500-1A11 (CS300),BCS3,Swiss International Air Lines,SWISS,SWR,LX
34448d,EC-LYE,Airbus,A320 216SL,A320,,,IBS,
3c6487,D-AIDG,Airbus,A321 231,A321,,LUFTHANSA,DLH,
4b19f4,HB-JVO,Embraer - Empresa Brasileira De Aeronáutica Sa,ERJ 190-100 LR,E190,Helvetic Airways,HELVETIC,OAW,2L
4b0294,HB-AZK,,,E295,,,,
44ce76,OO-SSV,Airbus,A319 111,A319,Brussels Airlines,BEE-LINE,BEL,SN
398561,F-HBLB,Embraer,EMB-190 LR,E190,Hop!,AIR HOP,HOP,A5
355316,TR.20-01,Cessna,Citation V,C560,Spanish Air Force,AIRMIL,AME,
344449,EC-LVD,Airbus,A320-216,A320,Iberia Airlines,IBERIA,IBE,IB
3c6668,D-AISH,Airbus,A321 231,A321,,LUFTHANSA,DLH,
44020a,OE-LXA,Airbus Industrie,A320-216,A320,Austrian Airlines,AUSTRIAN,AUA,OS
4951d7,CS-TNW,Airbus,A320 214,A320,,AIR PORTUGAL,TAP,
3c66e7,D-AIWG,Airbus Industrie,A320-214,A320,Lufthansa,LUFTHANSA,DLH,LH
406279,G-LCYM,Empresa Brasileira De Aeronautica Sa,ERJ 190-100 SR Embraer 190,E190,,FLYER,CFE,
4d22a0,9H-HFA,,A330-343,A333,Hi Fly Malta,MOONRAKER,HFM,
885170,HS-TKP,Boeing,777 3ALER,B77W,,THAI,THA,
4400be,OE-IAM,,,B734,,,,
406d1a,G-XLEJ,Airbus Sas,AIRBUS A380-841,A388,,SPEEDBIRD,BAW,
a4b0bb,N401DZ,Airbus,A330-941,A339,Delta Air Lines,DELTA,DAL,DL
502cc7,YL-CSB,Bombardier,Airbus A220-300,BCS3,Air Baltic,AIRBALTIC,BTI,BT
4ba9fa,TC-JOZ,Airbus,A330 243F,A332,,TURKAIR,THY,
4ca61e,EI-DWR,The Boeing Company,BOEING 737-8AS,B738,Ryanair,RYANAIR,RYR,FR
440352,OE-IJV,,,A320,,,,
4b15ee,HB-IHY,Airbus,A320-214,A320,Edelweiss Air,EDELWEISS,EDW,WK
4952a7,CS-TUG,Airbus,A330 941,A339,Tap Portugal,AIR PORTUGAL,TAP,TP
3c6449,D-AIBI,Airbus,A319 112,A319,,LUFTHANSA,DLH,
4d20f3,9H-BSA,Hawker Beechcraft Corp,Hawker Beechcraft Corp Hawker 750,H25B,,,,
34210d,EC-IYH,Avions De Transport Regional,ATR 72 202F,AT72,Swiftair,SWIFT,SWT,
48548d,PH-EXM,Embraer,EMB-175 200STD,E75L,Klm Cityhopper,KLM,KLC,WA
a8b75f,N66056,Boeing,767-424ER,B764,,UNITED,UAL,
3c4b27,D-ABYG,Boeing,747 830,B748,,LUFTHANSA,DLH,
406f73,G-ZBKG,Boeing Company,BOEING 787-9 Dreamliner,B789,British Airways,SPEEDBIRD,BAW,BA
a91b44,N686UA,Boeing,767-3CB,B763,United Airlines,UNITED,UAL,UA
344455,EC-LVQ,Airbus,A320 216SL,A320,,,IBS,
3c65c3,D-AINC,Airbus,A320 271NSL,A20N,,LUFTHANSA,DLH,
40690c,G-EZWK,Airbus Sas,AIRBUS A320-214,A320,,EASY,EZY,
4bb2ad,TC-LUM,,,A21N,,,,
78023d,B-KPQ,Boeing,Boeing 777-367(ER) ,B77W,,CATHAY,CPA,
4acb02,SE-RXB,Boeing,737NG 84P/W,B738,Norwegian Air Sweden,,NSZ,
44ccc3,OO-SFC,Airbus Industrie,A330-342,A333,Brussels Airlines,BEE-LINE,BEL,SN
39cf0b,F-HTYL,,A350-941,A359,Air France,AIRFRANS,AFR,AF
4cac85,EI-HGH,,,B38M,,,,
4ca85c,EI-EIB,Airbus Industrie,A320-216,A320,,ALITALIA,AZA,
3c70b4,D-ALET,Boeing,757-28APCF,B752,European Air Transport,EUROTRANS,BCS,QY
3c6519,D-AIHY,Airbus,Airbus A340 642,A346,,LUFTHANSA,DLH,
aa44d0,N76065,Boeing,767-424ER,B764,,UNITED,UAL,
484f06,PH-BGM,Boeing,737NG 7K2/W,B737,,KLM,KLM,
4d2119,9H-VCK,Bombardier,Challenger 350,CL35,,,,
a0e59f,N157QS,Bombardier Inc,BD-700-1A10,GLEX,,,,
39e686,F-HZUG,,A220-300,BCS3,Air France,AIRFRANS,AFR,AF
39644a,F-GZCK,Airbus,A330 203,A332,,AIRFRANS,AFR,
4d2465,9H-NCC,,,AT76,,,,
4b18bb,HB-JJN,Airbus Industrie,A320-214,A320,Edelweiss Air,EDELWEISS,EDW,WK
48418a,PH-BXO,Boeing,737NG 9K2/W,B739,,KLM,KLM,
400d5b,G-DBCH,Airbus Sas,AIRBUS A319-131,A319,,SPEEDBIRD,BAW,
040123,ET-ATG,Boeing,787 8,B788,,ETHIOPIAN,ETH,
4952c6,CS-TVF,Airbus,A320-251N,A20N,Tap Air Portugal,,,
471fa1,HA-LZL,,,A21N,,,,
48c2a5,SP-RZF,Boeing,737 MAX 8,B38M,Buzz,,BUZ,UK
896198,A6-EEY,Airbus,A380 861,A388,,EMIRATES,UAE,
346516,EC-NLK,,,B738,,Alba Star,LAV,JQ
44008f,OE-9125,,,SF25,,,,
4cc277,TF-FIK,Boeing,757 256/W,B752,,ICEAIR,ICE,
3964f7,F-GZHX,Boeing,737NG 8K2/W,B738,,FRENCH SUN,TVF,
48af01,SP-LVB,,,B38M,,,,
4ac9ef,SE-ROO,,,A20N,Scandinavian Airlines,SCANDINAVIAN,SAS,SK
4692d1,SX-DVQ,Airbus,A320 232,A320,,AEGEAN,AEE,
49514f,CS-TJO,,,A21N,,,,
4400b7,OE-IZL,,A320-214 (W),A320,Easyjet Europe,,EJU,EC
3c4b30,D-ABYP,Boeing,747 830,B748,,LUFTHANSA,DLH,
392ae9,F-GKXJ,Airbus,A320 214,A320,,AIRFRANS,AFR,
4d22bf,9H-IHD,Airbus,A320-232,A320,Lauda Air,LAUDA AIR,LDA,NG
0a004b,7T-VKC,Boeing,737NG 8D6/W,B738,,AIR ALGERIE,DAH,
4d2246,9H-QEJ,,737-8AS (W),B738,Malta Air,,MAY,AL
738051,4X-EHB,Boeing,737NG 958ER/W,B739,,ELAL,ELY,
407dc5,G-VTOM,,,A339,,,,
a4dbef,N412DX,Airbus,A330-941,A339,Delta Air Lines,DELTA,DAL,DL
3c66b2,D-AIUR,Airbus,A320 214SL,A320,,LUFTHANSA,DLH,
3c6427,D-AIAG,Airbus,A321 211SL,A321,,CONDOR,CFG,
4b18f5,HB-JLT,Airbus,A320-214,A320,Swiss International Air Lines,SWISS,SWR,LX
406660,G-TAWA,Boeing Company,BOEING 737-8K5,B738,,TOMSON,TOM,
4891b6,SP-ENX,Boeing,737NG 8Q8/W,B738,,,,
485b45,PH-BKF,Boeing Charleston (chs),Boeing 787-10,B78X,Klm Royal Dutch Airlines (koninklijke Luchtvaart Maatschappij N.v.) - Netherlands,KLM,KLM,
7811fd,B-8596,,,A332,,,,
4ca855,EI-EMM,The Boeing Company,BOEING 737-8AS,B738,,RYANAIR,RYR,
c01a61,C-FJZS,The Boeing Company,777-333ER (Boeing),B77W,,AIR CANADA,ACA,
484ac1,PH-PXY,Agustawestland,AW.139,A139,Klpd Police Aviation Service,ZXP25,,
34604c,EC-MXA,Bombardier,CRJ-1000,CRJX,Air Nostrum,AIR NOSTRUM,ANE,YW
40697b,G-EUYP,Airbus Sas,AIRBUS A320-232,A320,,SPEEDBIRD,BAW,
4cac63,EI-AZB,,,B738,,,,
400610,G-VIIJ,Boeing Company,BOEING 777-236,B772,,SPEEDBIRD,BAW,
4cc510,TF-ICU,,737-8,B38M,Icelandair,ICEAIR,ICE,FI
495212,CS-TPR,Embraer,EMB-190 LR,E190,,AIR PORTUGAL,TAP,
4bb28a,TC-LTJ,,,A21N,,,,
4b1a65,HB-JZX,Airbus,A320-214,A320,Easyjet Switzerland Sa,,,
3cefbd,D-CSCB,Cessna, 560 Citation XLS+,C56X,Silver Cloud Air,SILVER CLOUD,SCR,
4caf7e,EI-SIE,,,A20N,Sas Ireland,,SZS,SL
3c64a6,D-AIEF,Airbus Industrie,A321-271NX,A21N,Lufthansa,LUFTHANSA,DLH,LH
4bb290,TC-LTP,,,A21N,,,,
3c66b8,D-AIUX,Airbus,A320 214SL,A320,,LUFTHANSA,DLH,
3c5ef0,D-AGWP,Airbus,Airbus A319 132,A319,,GERMAN WINGS,GWI,
3c70c6,D-ALFF,Boeing,777-FBT,B77L,Lufthansa Cargo,LUFTHANSA CARGO,GEC,LH
780fdb,B-7879,Boeing,787 9,B789,,AIR CHINA,CCA,
4b17fd,HB-JCF,C Series Aircraft Limited Partnership,BD-500-1A11 (CS300),BCS3,Swiss International Air Lines,SWISS,SWR,LX
c01723,C-FITU,The Boeing Company,777-333ER (Boeing),B77W,,AIR CANADA,ACA,
3c5428,D-AEAH,Airbus,A300 B4-622RF,A306,European Air Transport,EUROTRANS,BCS,QY
3c6541,D-AIJA,Airbus Industrie,A320-271N,A20N,Lufthansa,LUFTHANSA,DLH,LH
406a3d,G-EUYT,Airbus Sas,AIRBUS A320-232,A320,,SPEEDBIRD,BAW,
406e0f,G-VBZZ,Boeing Company,BOEING 787-9 Dreamliner,B789,Virgin Atlantic Airways,VIRGIN,VIR,VS
86e3ec,JA861J,Boeing,787 9,B789,,J-BIRD,JAL,
484f18,PH-BCB,Boeing,737NG 8K2/W,B738,,KLM,KLM,
888152,VN-A896,,,A359,,,,
405455,G-EUUU,Airbus Sas,AIRBUS A320-232,A320,,SPEEDBIRD,BAW,
4076e4,G-NEOV,Airbus Industrie,A321-251NX,A21N,British Airways,SPEEDBIRD,BAW,BA
4b1a24,HB-JXK,Airbus,A320-214,A320,Easyjet Switzerland Sa,,,
4ca763,EI-EFH,The Boeing Company,BOEING 737-8AS,B738,,RYANAIR,RYR,
495218,CS-TPX,,,E190,,,,
3463c6,EC-NHP,,,A319,,,,
394a0b,F-GSQL,Boeing,Boeing 777-328(ER),B77W,,AIRFRANS,AFR,
44ce66,OO-SSF,Airbus,A319 112,A319,Brussels Airlines,BEE-LINE,BEL,SN
a07176,N128AM,Boeing,787-9,B789,,,,
ab9b54,N847RC,Gulfstream Aerospace,GIV-X (G450),GLF4,,,,
4cad39,EI-HEY,,,B38M,,,,
392af8,F-GKXY,Airbus,A320 214,A320,,AIRFRANS,AFR,
44081f,OE-LWC,Embraer,EMB-195 LR,E195,,AUSTRIAN,AUA,
440cbf,OE-LSO,,,A20N,,,,
4bb1e8,TC-LOH,,,A332,,,,
346045,EC-MYA,,A330-202,A332,Level (iberia),IBERIA,IBE,IB
89618f,A6-EEP,Airbus,A380 861,A388,,EMIRATES,UAE,
3964ee,F-GZHO,Boeing,737NG 8K2/W,B738,,FRENCH SUN,TVF,
4844c6,PH-BXV,Boeing,737NG 8K2/W,B738,,KLM,KLM,
4bb14e,TC-LJN,,Boeing 777-F,B77L,Turkish Airlines,TURKISH,THY,TK
39c426,F-HRBG,Boeing,787-9,B789,Air France,AIRFRANS,AFR,AF
405bfd,G-YMMT,Boeing Company,BOEING 777-236,B772,,SPEEDBIRD,BAW,
406a02,G-EUYS,Airbus Sas,AIRBUS A320-232,A320,,SPEEDBIRD,BAW,
407aae,G-NJAA,,,C56X,,,,
3c65c6,D-AINF,Airbus,A320 271NSL,A20N,,LUFTHANSA,DLH,
4ba9ea,TC-JOJ,Airbus,A330 303,A333,,TURKAIR,THY,
345250,EC-MLC,Bombardier,CRJ 1000 NG,CRJX,Air Nostrum,AIR NOSTRUM,ANE,YW
484561,PH-BVD,Boeing,Boeing 777-306(ER),B77W,,KLM,KLM,
4074b2,G-EZRT,,,A320,,,,
3c76ef,D-AMWO,,,E190,,,,
406832,G-VWAG,Airbus Sas,AIRBUS A330-343,A333,,VIRGIN,VIR,
347386,EC-NXC,,,A359,,,,
40097e,G-EUUC,Airbus Sas,AIRBUS A320-232,A320,,SPEEDBIRD,BAW,
02a1b0,TS-INQ,Airbus,A320 214,A320,Nouvelair Tunisie,NOUVELAIR,LBT,BJ
34538d,EC-MQL,Airbus,A321 231SL,A321,,VUELING,VLG,
0a008e,7T-VKO,Boeing,737NG 8D6/W,B738,Air Algerie,AIR ALGERIE,DAH,AH
76cef6,9V-SWV,Boeing,777 312ER,B77W,,SINGAPORE,SIA,
4ca24f,EI-DCW,The Boeing Company,BOEING 737-8AS,B738,,RYANAIR,RYR,
3c6496,D-AIDV,Airbus,A321 231,A321,,LUFTHANSA,DLH,
a4ee82,N417DX,Airbus,A330-941,A339,Delta Air Lines,DELTA,DAL,DL
4d20f6,9H-VJN,Bombardier,Bombardier Global 6000,GLEX,,,,
e4818b,PT-MUC,Boeing,777 32WER,B77W,,TAM,TAM,
451cc1,LZ-PLO,Embraer,EMB-190 AR,E190,,FLYING BULGARIA,LZB,
78076d,B-2087,Boeing,Boeing 777-39L(ER),B77W,,AIR CHINA,CCA,
4b1800,HB-JCI,C Series Aircraft Limited Partnership,BD-500-1A11 (CS300),BCS3,Swiss International Air Lines,SWISS,SWR,LX
398570,F-HBLQ,Embraer,E190STD,E190,Hop!,AIR HOP,HOP,A5
485e31,PH-IWS,,,FA7X,,,,
4072ea,G-VWOO,,Boeing 787-9,B789,Virgin Atlantic Airways,VIRGIN,VIR,VS
3c6677,D-AISW,Airbus,A321 231,A321,,LUFTHANSA,DLH,
020145,CN-NMO,Airbus,A320-214,A320,Air Arabia Maroc,ARABIA MAROC,MAC,3O
40666a,G-EZUP,Airbus Sas,AIRBUS A320-214,A320,,EASY,EZY,
3c6483,D-AIDC,Airbus,A321 231,A321,,LUFTHANSA,DLH,
39cf01,F-HTYB,Airbus,A350-941,A359,Air France - France,AIRFRANS,AFR,
346147,EC-NCM,,,A20N,,,,
461fa2,OH-LZM,Airbus,A321 231SL,A321,,FINNAIR,FIN,
3c6566,D-AIKF,Airbus,A330 343X,A333,,LUFTHANSA,DLH,
484161,PH-BXH,Boeing,737NG 8K2/W,B738,,KLM,KLM,
78103e,B-7973,Boeing,Boeing 777-300(ER),B77W,,AIR CHINA,CCA,
4855d2,PH-EXP,Embraer,Embraer E175STD,E75L,Klm Cityhopper,KLM,KLC,WA
407535,G-TTNE,Airbus Industrie,A320-251N,A20N,British Airways,SPEEDBIRD,BAW,BA
06a2e2,A7-BFU,Boeing,777-F,B77L,Qatar Air Cargo,QATAR CARGO,QAC,
502d58,YL-ABG,,,BCS3,,,,
89656d,A6-BMH,,,B78X,,,,
495170,CS-TKP,Airbus,A320 214,A320,,AIR AZORES,RZO,
4ca80b,EI-EKK,The Boeing Company,BOEING 737-8AS,B738,,RYANAIR,RYR,
344417,EC-LUL,Airbus,A320 216SL,A320,,IBERIA,IBE,
4b028d,HB-AZD,Embraer,E190-E2,E290,Helvetic Airways,HELVETIC,OAW,2L
a89fe0,N655FX,Gulfstream Aerospace Corp,GVI (G650ER),GLF6,,,,
3c65d2,D-AINR,Airbus Industrie,A320-271N,A20N,Lufthansa,LUFTHANSA,DLH,LH
3c01c3,D-APRI,,,E190,,,,
748027,OD-MRN,Airbus,A320 232,A320,,CEDAR JET,MEA,
3e51e9,D-IWFH,,,BE9L,,,,
c0171a,C-FITL,The Boeing Company,777-333ER (Boeing),B77W,,AIR CANADA,ACA,
86da1e,JA838J,Boeing,787 8,B788,,J-BIRD,JAL,
3c6489,D-AIDI,Airbus,A321 231,A321,,LUFTHANSA,DLH,
346204,EC-NDN,Airbus Industrie,A320-251N,A20N,Iberia Airlines,IBERIA,IBE,IB
484f6c,PH-HSF,Boeing,737NG 8K2/W,B738,,TRANSAVIA,TRA,
78158a,B-207N,,,B789,,,,
8880df,VN-A861,Boeing,787 9,B789,,VIET NAM AIRLINES,HVN,
75044b,9M-MAD,,,A359,,,,
3444da,EC-MBS,Airbus,A320 232SL,A320,,VUELING,VLG,
71c008,HL8008,Boeing,777 3B5ER,B77W,,KOREANAIR,KAL,
3c1459,D-AWSI,,,E190,Wdl Aviation,WDL,WDL,WD
3c6585,D-AILE,Airbus,A319 114,A319,,LUFTHANSA,DLH,
4b37ed,HB-VER,Cessna Aircraft Company,525A,C25A,Swiss Private Flights Ag,,,
4bd8ac,TC-VEL,Airbus,A310 308F,A310,,KUZU CARGO,KZU,
484f72,PH-AKB,Airbus,A330 303,A333,,KLM,KLM,
4bc847,TC-RBG,,,A21N,,,,
4caaa7,EI-IMV,Airbus Industrie,A319-111,A319,,ALITALIA,AZA,
34640e,EC-NIG,Airbus,A350-941,A359,Iberia Airlines,IBERIA,IBE,IB
c01754,C-FIVR,The Boeing Company,777-333ER (Boeing),B77W,,AIR CANADA,ACA,
471f78,HA-LXW,,,A321,,,,
495145,CS-TJE,Airbus,A321 211,A321,,AIR PORTUGAL,TAP,
4ca569,EI-DWD,The Boeing Company,BOEING 737-8AS,B738,,RYANAIR,RYR,
343545,EC-LEP,Cessna,Citation V,C560,,,,
4b191b,HB-JNF,Boeing,777-3DEER,B77W,Swiss International Air Lines,SWISS,SWR,LX
4ca8d7,EI-ENL,The Boeing Company,BOEING 737-8AS,B738,,RYANAIR,RYR,
3991e1,F-HEPB,Airbus,A320 214,A320,,AIRFRANS,AFR,
3542c5,T.18-5,,,F900,,,,
406c39,G-VWHO,Boeing Company,BOEING 787-9 Dreamliner,B789,,VIRGIN,VIR,
34454a,EC-MBF,Airbus,A320 214,A320,,VUELING,VLG,
ab5d2c,N831MH,Boeing,767-432ER,B764,,DELTA,DAL,
3c6544,D-AIJD,Airbus Industrie,,A20N,Lufthansa,LUFTHANSA,DLH,LH
345691,EC-MXU,,,A20N,,,,
4b1882,HB-JHI,Airbus,A330-343,A333,Swiss International Air Lines,SWISS,SWR,LX
346184,EC-NDC,,,A20N,,,,
4cad7a,EI-NSA,,,A20N,,,,
39cf0d,F-HTYN,,A350-941,A359,Air France,AIRFRANS,AFR,AF
3c4ad8,D-ABVX,Boeing,747 430,B744,,LUFTHANSA,DLH,
406250,G-EUYI,Airbus Sas,AIRBUS A320-232,A320,British Airways,SPEEDBIRD,BAW,BA
489229,SP-ESK,,,B738,,,,
4b1691,HB-IOF,Airbus,A321-111,A321,Swiss International Air Lines,SWISS,SWR,LX
3c65d8,D-AINX,A320-271n,Airbus A320-271N,A20N,Lufthansa,LUFTHANSA,DLH,LH
485ecc,PH-BVW,Boeing,777-300(ER),B77W,Klm,KLM,KLM,KL
400980,G-EUUE,Airbus Sas,AIRBUS A320-232,A320,British Airways,SPEEDBIRD,BAW,BA
0a008b,7T-VKL,Boeing,737NG 8D6/W,B738,,AIR ALGERIE,DAH,
4d2286,9H-QDP,Boeing,Boeing 737-8AS (W),B738,Malta Air,,MMO,
502ce5,YL-CSK,,Airbus A220-300,BCS3,Air Baltic,AIRBALTIC,BTI,BT
4408df,OE-LBZ,Airbus,A320 214,A320,,AUSTRIAN,AUA,
39e688,F-HZUI,,A220-300,BCS3,Air France,AIRFRANS,AFR,AF
3c5b31,D-AFYQ,,,A333,,,,
3c64ac,D-AIEL,,,A21N,,,,
7816b3,B-20AL,Boeing,Boeing 787-9,B789,Hainan Airlines,HAINAN,CHH,HU
440bcc,OE-LNU,757-256 (pcf)(w),,B752,Dhl Air Austria,,DHA,Q7
4952aa,CS-TUJ,,A330-941,A339,Tap Portugal,AIR PORTUGAL,TAP,TP
3c6648,D-AIRH,Airbus,Airbus A321 131,A321,,LUFTHANSA,DLH,
3986e1,F-HBXB,Embraer,EMB-170 STD,E170,Hop!,AIR HOP,HOP,A5
3e232e,D-IENE,Cessna,Citation CJ2+,C25A,,,,
484370,PH-BQI,Boeing,777 206ER,B772,,KLM,KLM,
406ae3,G-EUYW,Airbus Sas,AIRBUS A320-232,A320,,SPEEDBIRD,BAW,
491221,CS-DQA,Cessna,Citation XLS,C56X,,,,
3c4a03,D-ABPC,,,B789,,,,
4cad86,EI-SIR,,,A20N,,,,
34260e,EC-KHM,Airbus,A319 111,A319,,IBERIA,IBE,
3c5434,D-AEAT,Airbus,A300 B4-622RF,A306,European Air Transport,EUROTRANS,BCS,QY
440107,OE-IBI,,,B734,,,,
344197,EC-LOV,Bombardier,CRJ 1000 NG,CRJX,,AIR NOSTRUM,ANE,
440db0,OE-IDX,Airbus Industrie,A320-216 (W),A320,Easyjet,EASY,EJU,U2
4007f3,G-YMMH,Boeing Company,BOEING 777-236,B772,British Airways,SPEEDBIRD,BAW,BA
76cda4,9V-SMD,Airbus,A350 941,A359,,SINGAPORE,SIA,
3949ec,F-GSPM,Boeing,777 228ER,B772,,AIRFRANS,AFR,
4010ea,G-EZBV,Airbus Sas,AIRBUS A319-111,A319,,EASY,EZY,
4b028a,HB-AZA,Embraer,E190-E2,E290,Helvetic Airways,HELVETIC,OAW,2L
44ce6c,OO-SSL,Airbus,A319 111,A319,Brussels Airlines,BEE-LINE,BEL,SN
0101bc,SU-GEL,Boeing,Boeing 737NG 800/W,B738,,EGYPTAIR,MSR,
491d84,CS-GLD,Bombardier,Bombardier Global 6000,GLEX,,,,
40658a,G-LCYP,Embraer Sa,ERJ 190-100 SR Embraer 190,E190,,FLYER,CFE,
e8040d,CC-CXK,Boeing,767 316ER/W,B763,,LAN,LAN,
44ce6f,OO-SSO,Airbus,A319 111,A319,Brussels Airlines,BEE-LINE,BEL,SN
3965ae,F-GZNO,Boeing,777 328ER,B77W,,AIRFRANS,AFR,
3c56eb,D-AEWK,Airbus,A320 214SL,A320,,EUROWINGS,EWG,
4063e6,G-VSXY,Airbus Sas,AIRBUS A330-343,A333,,VIRGIN,VIR,
440caf,OE-LVC,,,B738,,,,
8880f7,VN-A867,Boeing,787 9,B789,,VIET NAM AIRLINES,HVN,
aa305f,N756AM,Boeing,777-223,B772,,AMERICAN,AAL,
4d228a,9H-QDW,,,B738,,,,
4cada8,EI-INC,Airbus Industrie,A320-271N,A20N,Ita Airways,,,
48c12e,SP-RKO,,737-8AS (W),B738,,ROYAL SKY,RYS,
3965b4,F-GZNU,Boeing,777 328ER,B77W,,AIRFRANS,AFR,
39a203,F-HIQD,,,B738,,,,
4076e0,G-NPTD,,,B738,,,,
4951d3,CS-TNS,Airbus,A320 214SL,A320,,AIR PORTUGAL,TAP,
345646,EC-MYC,,,A320,,,,
3c7a48,D-ANRH,,,A339,,,,
40780e,G-NEOY,,,A21N,British Airways,SPEEDBIRD,BAW,BA
4ca759,EI-DTA,Airbus Industrie,A320-216,A320,,ALITALIA,AZA,
39d30a,F-HUYK,,,B738,,,,
440170,OE-LQN,Airbus Industrie,A319-111,A319,Easyjet,EASY,EZY,U2
06a0fe,A7-ALJ,Airbus,A350 941,A359,Qatar Airways,QATARI,QTR,QR
392aec,F-GKXM,Airbus,A320 214,A320,,AIRFRANS,AFR,
471fa9,HA-LZT,,,A21N,,,,
4b17e6,HB-JBI,,,BCS1,,,,
3c6445,D-AIBE,Airbus,A319 112,A319,,LUFTHANSA,DLH,
