icao24,registration,manufacturername,model,typecode,operator,operatorcallsign,operatoricao,operatoriata
400773,G-VIIV,Boeing Company,BOEING 777-236,B772,,SPEEDBIRD,BAW,
48c129,SP-RKK,Boeing,Boeing 737-8AS (W),B738,Ryanair Ltd. - Ireland,RYANAIR,RYR,
342396,EC-JSY,Airbus,A320 214,A320,,VUELING,VLG,
484131,PH-BXB,Boeing,Boeing 737NG 8K2/W,B738,,KLM,KLM,
346047,EC-MXP,,,A320,,,,
c0173e,C-FIUV,The Boeing Company,777-333ER (Boeing),B77W,,AIR CANADA,ACA,
495039,CS-TAY,,,E195,,,,
440452,OE-ICM,,,A320,,,,
440036,OE-ICP,,,A320,,,,
4a1921,YR-FIA,,,A320,,,,
485789,PH-BHO,,Boeing 787-9 Dreamliner,B789,Klm,KLM,KLM,KL
4cabc6,EI-GUP,,,AT76,Federal Express,FEDEX,FDX,FX
896199,A6-EEZ,Airbus,A380 861,A388,,EMIRATES,UAE,
3c70cb,D-ALFK,,,B77L,,,,
461f63,OH-LXB,Airbus,A320 214,A320,,FINNAIR,FIN,
738101,4X-ERB,,,B788,,,,
ac3857,N887FD,Boeing Co,777-FS2,B77L,Federal Express,FEDEX,FDX,FX
3451d5,EC-MKO,Airbus,A320 232SL,A320,,VUELING,VLG,
3d5006,D-FCOC,,,P46T,,,,
347258,EC-NTU,,,A320,,,,
738065,4X-EKC,Boeing,737NG 858/W,B738,,ELAL,ELY,
4c01e5,YU-APF,Airbus,A319 132,A319,,AIR SERBIA,ASL,
781941,B-20EN,,,B77L,,,,
485009,PH-HSI,Boeing,737NG 8K2/W,B738,,TRANSAVIA,TRA,
aa7f5e,N776AN,Boeing,777-223,B772,,AMERICAN,AAL,
440c8c,OE-LBA,Airbus,A321 111,A321,,AUSTRIAN,AUA,
78103a,B-8577,Airbus,A330 343E,A333,,AIR CHINA,CCA,
343499,EC-LEB,Bombardier,Global Express XRS,GLEX,,,,
485123,PH-HSM,Boeing,737NG 8K2/W,B738,,TRANSAVIA,TRA,
ad6ec5,N965AM,Boeing,787-8,B788,Aeroméxico,AEROMEXICO,AMX,AM
451d86,LZ-VAR,Embraer,EMB-190 AR,E190,,FLYING BULGARIA,LZB,
